name,type,region,locality,geolocation
"Palace ""Dulber""",architecture,Republic of Crimea,,"(Decimal('33.993751'), Decimal('45.389194'))"
Matrimonial Palace,architecture,Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Matrimonial Palace,architecture,Tambov Region,Tambov,"(Decimal('41.452274'), Decimal('52.721219'))"
Wedding Palace on Furshtatskaya,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.297668'), Decimal('59.929263'))"
The palace of the military governor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Palace of childhood and adolescence,architecture,Sevastopol,,Not found
Palace of Arts,architecture,Ivanovo region,Ivanovo,"(Decimal('40.986569'), Decimal('56.994474'))"
"Palace of Culture ""Aviator""",architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Palace of Culture LVRZ,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('106.39507'), Decimal('52.172408'))"
Palace of culture of railwaymen,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.626122'), Decimal('56.852485'))"
Palace of Culture named after M. Gorky,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.920196'), Decimal('55.027144'))"
Palace of Culture Communication Workers,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.380161'), Decimal('60.051163'))"
Palace of Pioneers,architecture,Primorsky Krai,Vladivostok,Not found
Palace of labor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.872182'), Decimal('56.347504'))"
Palace of labor,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.869872'), Decimal('54.99476'))"
The palace of the Emir of Bukhara,architecture,Stavropol region,Zheleznovodsk,"(Decimal('43.030533'), Decimal('44.132058'))"
The palace of the Emir of Bukhara in Yalta,architecture,Republic of Crimea,,Not found
Palace Square,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315311'), Decimal('59.938924'))"
"The palace and park ensemble ""Gostilitsy""",architecture,Leningrad region,Gostilitsy,"(Decimal('29.637658'), Decimal('59.725852'))"
"The palace and park ensemble ""Ropsha""",architecture,Leningrad region,ROPS,"(Decimal('29.862381'), Decimal('59.729409'))"
"The palace and park complex ""The Priory""",architecture,Leningrad region,,"(Decimal('30.123359'), Decimal('59.560091'))"
Noble assembly,architecture,Orenburg region,Orenburg,"(Decimal('55.096955'), Decimal('51.768199'))"
Noble assembly,architecture,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Noble assembly,architecture,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
A two-storey brick mansion,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.952868'), Decimal('55.034425'))"
Maiden bath,architecture,The Republic of Dagestan,Derbent,"(Decimal('48.288776'), Decimal('42.057669'))"
Business Building (Building Industrial Bank),architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
Demwtov restaurant,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Denisova cave,architecture,Altai region,,"(Decimal('83.020834'), Decimal('51.170746'))"
Wooden manor tradesman G. Mashkov,architecture,Tyumen region,Tyumen,"(Decimal('65.961387'), Decimal('57.136167'))"
Wooden building in the Art Nouveau style,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Wooden architecture,architecture,Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Wooden house fishing producer Tyumen tradesman Gorkushenko,architecture,Khanty-Mansi Autonomous Area,The October,Not found
Wooden house,architecture,Tyumen region,Tyumen,"(Decimal('65.523036'), Decimal('57.151969'))"
Wooden Condo,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
Toy railway,architecture,Novosibirsk region,,Not found
Demetrius tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
Demetrius Cathedral,architecture,Vladimir region,Vladimir,"(Decimal('40.560884'), Decimal('55.907147'))"
Dnieper gates gate Odigitrievsky church,architecture,Smolensk region,Smolensk,Not found
Dovmont town,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
House,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
Дом &quot;Корабль&quot;,architecture,Ivanovo region,Ivanovo,Not found
Дом &quot;Подкова&quot;,architecture,Ivanovo region,Ivanovo,Not found
"House of ""Aeroflot""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
House AA Delvig,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.368285'), Decimal('59.927189'))"
House AA Drozzhilova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.565342'), Decimal('56.845884'))"
"House AG Morozov, 1905 (Museum A. Green)",architecture,Kirov region,Kirov,"(Decimal('49.661079'), Decimal('58.560004'))"
House Rubinstein,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.344363'), Decimal('59.929484'))"
House AD Andreeva,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.056635'), Decimal('56.750048'))"
House AD Usanina,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.056635'), Decimal('56.750048'))"
House Titov,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.660823'), Decimal('51.869022'))"
House AY Levitical,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
AA house Zotov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.565342'), Decimal('56.845884'))"
AA house Titova,architecture,Yaroslavskaya oblast,Rostov,Not found
A. house Ekimov (Vasnetsov House),architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
I'm at home. Düringer,architecture,Ivanovo region,Ivanovo,"(Decimal('40.940306'), Decimal('57.021672'))"
house Balandin,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Balahovit,architecture,Republic of North Ossetia - Alania,Galiat,"(Decimal('43.847811'), Decimal('42.920194'))"
house Baur,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Home Bender,architecture,Saratov region,Saratov,"(Decimal('46.076037'), Decimal('51.58032'))"
Bilibin house in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.267863'), Decimal('54.530567'))"
house Bolkonski,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
house Botkin,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Butyrina,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
House Belousov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
House VMBekhterev,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.553796'), Decimal('60.175857'))"
VV house Nikitin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.972038'), Decimal('55.021664'))"
VM house spondylitis,architecture,Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
VM house Lukin / Far Eastern District Medical Center,architecture,Amur region,Blagoveshchensk,Not found
VS house Popova,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House VY Zhmakin,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
house V.Ya.Safyanschikova,architecture,Pskov region,Pskov,Not found
house Vahrameeva,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
house Vitov,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
house Vorobyova,architecture,Saratov region,Saratov,"(Decimal('46.076037'), Decimal('51.58032'))"
house Vorontsov,architecture,Republic of Crimea,Simferopol,"(Decimal('34.103722'), Decimal('44.942247'))"
second home,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
house Galibina,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Garelina,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
St George's House fraternity,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House superiors mining plants,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Gribushin,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
house Gubin,architecture,Lipetsk region,Lipetsk,"(Decimal('39.59922'), Decimal('52.60882'))"
house Guseva,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
House DM smith,architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
"House DF Babina, 1804 - 1806 years",architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House of Nobility Assembly,architecture,Kaluga region,Kaluga,"(Decimal('36.263784'), Decimal('54.506857'))"
Demidov's house,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.990581'), Decimal('54.720231'))"
House Dmitry Sidorov,architecture,Voronezh region,Nižnedevick,"(Decimal('38.361629'), Decimal('51.541097'))"
house Dovlatova,architecture,Pskov region,Berezino,"(Decimal('28.926588'), Decimal('57.042601'))"
house Dyurshmidta,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
Home EK Kuklina,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
"House EP Naryshkina, wives of the Decembrists MM Naryshkin",architecture,Transbaikal region,Chita,"(Decimal('114.029537'), Decimal('51.808188'))"
Home EG Ikonnikovoy,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
House EY riding,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
Europa house,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
house Zheleznova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Zasetskaya,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Zverkov,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Zinger house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House Zinkovetskogo (Officers' House),architecture,Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
House I. Merkuleva,architecture,Astrakhan region,Astrakhan,"(Decimal('47.993761'), Decimal('46.312972'))"
House IP Shuvalov - MA Heinze,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
"House I. Repin, 1815",architecture,Kirov region,Kirov,"(Decimal('49.719343'), Decimal('58.49252'))"
House I. Sayapina,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
IV house Malyshev,architecture,Kostroma region,Kostroma,"(Decimal('40.898894'), Decimal('57.733973'))"
House IG Vedernikov,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
House II Menshikov,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.660823'), Decimal('51.869022'))"
House II Feinberg,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
Home ip Voynova,architecture,Tyumen region,Tyumen,"(Decimal('65.580268'), Decimal('57.169565'))"
IF House Stikhin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.932943'), Decimal('55.021075'))"
House Ivan Polyashova,architecture,Kostroma region,Pogorelovo,"(Decimal('43.130668'), Decimal('58.825872'))"
House Ivan Steingel,architecture,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
house Ignatiev,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House K Firstova,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House KP Buzolin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
house Kamenskih,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Baia-Karim (center of Tatar culture),architecture,Tomsk region,Tomsk,"(Decimal('85.050946'), Decimal('56.469513'))"
house Kligman,architecture,Voronezh region,Voronezh,"(Decimal('39.164247'), Decimal('51.701105'))"
house Kolmogorovs,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
house Kornilov,architecture,Tyumen region,Tobolsk,"(Decimal('68.232993'), Decimal('58.195698'))"
house Kostromina,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Kuchina / house Klinkstrem,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Kyuzelya,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
LI house Rodionova,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
house Laval,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Laval,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Dom Левашова,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Lesniewski,architecture,Altai region,Barnaul,"(Decimal('83.774503'), Decimal('53.362495'))"
House Lobanov-Rostovsky,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Loktev,architecture,Moscow region,Zaraysk,"(Decimal('38.874845'), Decimal('54.756973'))"
house Lukin,architecture,Transbaikal region,Chita,"(Decimal('118.645746'), Decimal('52.459782'))"
House MN Zamyatnin,architecture,Voronezh region,Voronezh,"(Decimal('39.164247'), Decimal('51.701105'))"
Mamalova trapped Coxe,architecture,The Republic of Dagestan,Aul Çox,Not found
Marian House Sazonov,architecture,Kostroma region,Ostašovo,"(Decimal('43.080398'), Decimal('58.688099'))"
Melnikov house,architecture,Moscow,,"(Decimal('37.671301'), Decimal('55.725929'))"
house Meshkov,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
Home Michael,architecture,Sevastopol,Juniperus excelsa Balaklava,"(Decimal('33.599857'), Decimal('44.501214'))"
trapped Moʙerga,architecture,The Republic of Karelia,Kalevala,"(Decimal('31.184413'), Decimal('65.197743'))"
house Muruzi,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
NI house Klabukova,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
Naxiʙaşeva trapped Coxe,architecture,The Republic of Dagestan,Aul Çox,Not found
Nicholas House Basin,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.466507'), Decimal('59.865072'))"
Home Nosovycha,architecture,Altai region,Barnaul,"(Decimal('83.774503'), Decimal('53.362495'))"
House Orlova-Davydova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Home P. E. Borisova,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
Home PI Podarueva,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House PG Arshaulova,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
PD House Dolishte,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
House PI Dempsey,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.990581'), Decimal('54.720231'))"
House PI Tchaikovsky,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.35278'), Decimal('59.94654'))"
Pavlov's House,architecture,Volgograd region,,"(Decimal('43.510799'), Decimal('48.655732'))"
Memory house,architecture,Orenburg region,Orenburg,"(Decimal('55.096955'), Decimal('51.768199'))"
house Panyov,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
Pashkov house,architecture,Moscow,,"(Decimal('37.637874'), Decimal('55.770218'))"
house Perepilihi,architecture,Arhangelsk region,Uemsky,"(Decimal('40.862476'), Decimal('64.475911'))"
house Pereslavtseva,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
House Pakleŭski-Kozell,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
dom Popova,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.902415'), Decimal('58.031132'))"
house Pryanichnikova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House Paunch-Puzyrevskii,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
